id,name,city,address,category_id,rating,rating_count,image_status,thumbnail_url,first_image,tags
638,4号湖入口广场,成都市,蒙彼利埃小学,1,4.20,0,generic_unsplash_fallback,https://images.unsplash.com/photo-1444723121867-7a241cacace9?auto=format&fit=crop&w=1200&q=80,https://images.unsplash.com/photo-1444723121867-7a241cacace9?auto=format&fit=crop&w=1200&q=80,"{城市广场,成都市,四川省}"
667,白鹿森林公园,成都市,白鹿镇小夫路与塘坝二路交叉口,1,4.20,0,generic_unsplash_fallback,https://images.unsplash.com/photo-1500530855697-b586d89ba3ee?auto=format&fit=crop&w=1200&q=80,https://images.unsplash.com/photo-1500530855697-b586d89ba3ee?auto=format&fit=crop&w=1200&q=80,"{风景名胜,成都市,四川省}"
615,白鹭湾湿地公园,成都市,湿地路,1,4.20,0,generic_unsplash_fallback,https://images.unsplash.com/photo-1500530855697-b586d89ba3ee?auto=format&fit=crop&w=1200&q=80,https://images.unsplash.com/photo-1500530855697-b586d89ba3ee?auto=format&fit=crop&w=1200&q=80,"{公园,成都市,四川省}"
651,百工堰公园,成都市,公园路二段186号,1,4.20,0,generic_unsplash_fallback,https://images.unsplash.com/photo-1500530855697-b586d89ba3ee?auto=format&fit=crop&w=1200&q=80,https://images.unsplash.com/photo-1500530855697-b586d89ba3ee?auto=format&fit=crop&w=1200&q=80,"{公园,成都市,四川省}"
675,百花潭公园,成都市,芳邻路5号,1,4.20,0,generic_unsplash_fallback,https://images.unsplash.com/photo-1500530855697-b586d89ba3ee?auto=format&fit=crop&w=1200&q=80,https://images.unsplash.com/photo-1500530855697-b586d89ba3ee?auto=format&fit=crop&w=1200&q=80,"{公园,成都市,四川省}"
677,百仁城市文化公园,成都市,蜀江路与清源一路交叉口东北280米,1,4.20,0,generic_unsplash_fallback,https://images.unsplash.com/photo-1500530855697-b586d89ba3ee?auto=format&fit=crop&w=1200&q=80,https://images.unsplash.com/photo-1500530855697-b586d89ba3ee?auto=format&fit=crop&w=1200&q=80,"{公园,成都市,四川省}"
662,北湖生态公园,成都市,龙潭街道环湖路5号,1,4.20,0,generic_unsplash_fallback,https://images.unsplash.com/photo-1500530855697-b586d89ba3ee?auto=format&fit=crop&w=1200&q=80,https://images.unsplash.com/photo-1500530855697-b586d89ba3ee?auto=format&fit=crop&w=1200&q=80,"{公园,成都市,四川省}"
639,成都SKP中央大台阶,成都市,天府大道1600号(锦城广场东地铁站A口步行80米),1,4.20,0,generic_unsplash_fallback,https://images.unsplash.com/photo-1469854523086-cc02fe5d8800?auto=format&fit=crop&w=1200&q=80,https://images.unsplash.com/photo-1469854523086-cc02fe5d8800?auto=format&fit=crop&w=1200&q=80,"{旅游景点,成都市,四川省}"
628,成都大熊猫繁育研究基地,成都市,熊猫大道1375号,1,4.20,0,generic_unsplash_fallback,https://images.unsplash.com/photo-1469854523086-cc02fe5d8800?auto=format&fit=crop&w=1200&q=80,https://images.unsplash.com/photo-1469854523086-cc02fe5d8800?auto=format&fit=crop&w=1200&q=80,"{国家级景点,成都市,四川省}"
653,成都动物园,成都市,昭觉寺南路234号(动物园地铁站A口步行460米),1,4.20,0,generic_unsplash_fallback,https://images.unsplash.com/photo-1469854523086-cc02fe5d8800?auto=format&fit=crop&w=1200&q=80,https://images.unsplash.com/photo-1469854523086-cc02fe5d8800?auto=format&fit=crop&w=1200&q=80,"{动物园,成都市,四川省}"
633,成都高新中演大剧院,成都市,高新区天府四街688号4栋,1,4.20,0,generic_unsplash_fallback,https://images.unsplash.com/photo-1469854523086-cc02fe5d8800?auto=format&fit=crop&w=1200&q=80,https://images.unsplash.com/photo-1469854523086-cc02fe5d8800?auto=format&fit=crop&w=1200&q=80,"{旅游景点,成都市,四川省}"
616,成都桂溪公园骑行起点,成都市,桂溪生态公园附近,1,4.20,0,generic_unsplash_fallback,https://images.unsplash.com/photo-1500530855697-b586d89ba3ee?auto=format&fit=crop&w=1200&q=80,https://images.unsplash.com/photo-1500530855697-b586d89ba3ee?auto=format&fit=crop&w=1200&q=80,"{旅游景点,成都市,四川省}"
603,成都江滩公园,成都市,世纪城路,1,4.20,0,generic_unsplash_fallback,https://images.unsplash.com/photo-1500530855697-b586d89ba3ee?auto=format&fit=crop&w=1200&q=80,https://images.unsplash.com/photo-1500530855697-b586d89ba3ee?auto=format&fit=crop&w=1200&q=80,"{公园,成都市,四川省}"
661,成都露天音乐公园,成都市,北星大道一段1500号,1,4.20,0,generic_unsplash_fallback,https://images.unsplash.com/photo-1500530855697-b586d89ba3ee?auto=format&fit=crop&w=1200&q=80,https://images.unsplash.com/photo-1500530855697-b586d89ba3ee?auto=format&fit=crop&w=1200&q=80,"{公园,成都市,四川省}"
635,成都南站广场,成都市,天府大道北段成都南站(火车南站地铁站L口旁),1,4.20,0,generic_unsplash_fallback,https://images.unsplash.com/photo-1444723121867-7a241cacace9?auto=format&fit=crop&w=1200&q=80,https://images.unsplash.com/photo-1444723121867-7a241cacace9?auto=format&fit=crop&w=1200&q=80,"{城市广场,成都市,四川省}"
652,成都天台山旅游景区,成都市,天台山镇三角社区天水路55号,1,4.20,0,generic_unsplash_fallback,https://images.unsplash.com/photo-1469854523086-cc02fe5d8800?auto=format&fit=crop&w=1200&q=80,https://images.unsplash.com/photo-1469854523086-cc02fe5d8800?auto=format&fit=crop&w=1200&q=80,"{国家级景点,成都市,四川省}"
657,成都植物园,成都市,蓉都大道天回路1116号,1,4.20,0,generic_unsplash_fallback,https://images.unsplash.com/photo-1469854523086-cc02fe5d8800?auto=format&fit=crop&w=1200&q=80,https://images.unsplash.com/photo-1469854523086-cc02fe5d8800?auto=format&fit=crop&w=1200&q=80,"{植物园,成都市,四川省}"
672,成飞公园,成都市,纬一路220号,1,4.20,0,generic_unsplash_fallback,https://images.unsplash.com/photo-1500530855697-b586d89ba3ee?auto=format&fit=crop&w=1200&q=80,https://images.unsplash.com/photo-1500530855697-b586d89ba3ee?auto=format&fit=crop&w=1200&q=80,"{公园,成都市,四川省}"
632,大慈寺,成都市,大慈寺路21-23号(春熙路地铁站C口步行360米),1,4.20,0,generic_unsplash_fallback,https://images.unsplash.com/photo-1513415756790-2ac1db1297d0?auto=format&fit=crop&w=1200&q=80,https://images.unsplash.com/photo-1513415756790-2ac1db1297d0?auto=format&fit=crop&w=1200&q=80,"{寺庙道观,成都市,四川省}"
599,大源中央公园,成都市,成都高新区天府二街777号(大源地铁站D口旁),1,4.20,0,generic_unsplash_fallback,https://images.unsplash.com/photo-1500530855697-b586d89ba3ee?auto=format&fit=crop&w=1200&q=80,https://images.unsplash.com/photo-1500530855697-b586d89ba3ee?auto=format&fit=crop&w=1200&q=80,"{公园,成都市,四川省}"
660,东安湖公园,成都市,龙泉街道都市汽车城大道四段辅路,1,4.20,0,generic_unsplash_fallback,https://images.unsplash.com/photo-1500530855697-b586d89ba3ee?auto=format&fit=crop&w=1200&q=80,https://images.unsplash.com/photo-1500530855697-b586d89ba3ee?auto=format&fit=crop&w=1200&q=80,"{公园,成都市,四川省}"
